,Station,Year,Season,SeasonalRainfall
1,Barisal,1970,Annual,2413
2,Barisal,1971,Annual,2025
3,Barisal,1972,Annual,1396
4,Barisal,1973,Annual,2877
5,Barisal,1974,Annual,2346
6,Barisal,1975,Annual,1450
7,Barisal,1976,Annual,1845
8,Barisal,1977,Annual,1862
9,Barisal,1978,Annual,2516
10,Barisal,1979,Annual,2325
11,Barisal,1980,Annual,1919
12,Barisal,1981,Annual,2322
13,Barisal,1982,Annual,1868
14,Barisal,1983,Annual,2312
15,Barisal,1984,Annual,2649
16,Barisal,1985,Annual,1645
17,Barisal,1986,Annual,2119
18,Barisal,1987,Annual,2129
19,Barisal,1988,Annual,2464
20,Barisal,1989,Annual,1994
21,Barisal,1990,Annual,2378
22,Barisal,1991,Annual,2392
23,Barisal,1992,Annual,1439
24,Barisal,1993,Annual,2566
25,Barisal,1994,Annual,1777
26,Barisal,1995,Annual,2258
27,Barisal,1996,Annual,1819
28,Barisal,1997,Annual,1758
29,Barisal,1998,Annual,2858
30,Barisal,1999,Annual,1955
31,Barisal,2000,Annual,1770
32,Barisal,2001,Annual,2228
33,Barisal,2002,Annual,2537
34,Barisal,2003,Annual,1795
35,Barisal,2004,Annual,2529
36,Barisal,2005,Annual,1943
37,Barisal,2006,Annual,1998
38,Barisal,2007,Annual,2328
39,Barisal,2008,Annual,1864
40,Barisal,2009,Annual,1820
41,Barisal,2010,Annual,1662
42,Barisal,2011,Annual,1909
43,Barisal,2012,Annual,1617
44,Barisal,2013,Annual,2321
45,Barisal,2014,Annual,1454
46,Barisal,2015,Annual,2434
47,Barisal,2016,Annual,2351
