"fh","sh","ten_LB_95","ten_UB_95","ten_LB_90","ten_UB_90"
1396,1454,1290.16304347826,1501.83695652174,1184.32608695652,1607.67391304348
1439,1617,1333.16304347826,1544.83695652174,1227.32608695652,1650.67391304348
1450,1662,1344.16304347826,1555.83695652174,1238.32608695652,1661.67391304348
1645,1758,1539.16304347826,1750.83695652174,1433.32608695652,1856.67391304348
1845,1770,1739.16304347826,1950.83695652174,1633.32608695652,2056.67391304348
1862,1777,1756.16304347826,1967.83695652174,1650.32608695652,2073.67391304348
1868,1795,1762.16304347826,1973.83695652174,1656.32608695652,2079.67391304348
1919,1819,1813.16304347826,2024.83695652174,1707.32608695652,2130.67391304348
1994,1820,1888.16304347826,2099.83695652174,1782.32608695652,2205.67391304348
2025,1864,1919.16304347826,2130.83695652174,1813.32608695652,2236.67391304348
2119,1909,2013.16304347826,2224.83695652174,1907.32608695652,2330.67391304348
2129,1943,2023.16304347826,2234.83695652174,1917.32608695652,2340.67391304348
2312,1955,2206.16304347826,2417.83695652174,2100.32608695652,2523.67391304348
2322,1998,2216.16304347826,2427.83695652174,2110.32608695652,2533.67391304348
2325,2228,2219.16304347826,2430.83695652174,2113.32608695652,2536.67391304348
2346,2258,2240.16304347826,2451.83695652174,2134.32608695652,2557.67391304348
2378,2321,2272.16304347826,2483.83695652174,2166.32608695652,2589.67391304348
2392,2328,2286.16304347826,2497.83695652174,2180.32608695652,2603.67391304348
2413,2434,2307.16304347826,2518.83695652174,2201.32608695652,2624.67391304348
2464,2529,2358.16304347826,2569.83695652174,2252.32608695652,2675.67391304348
2516,2537,2410.16304347826,2621.83695652174,2304.32608695652,2727.67391304348
2649,2566,2543.16304347826,2754.83695652174,2437.32608695652,2860.67391304348
2877,2858,2771.16304347826,2982.83695652174,2665.32608695652,3088.67391304348
