"","fh","sh","ten_LB_95","ten_UB_95","ten_LB_90","ten_UB_90"
"1",1396,1454,1290.16304347826,1290.16304347826,1184.32608695652,1184.32608695652
"2",1439,1617,1333.16304347826,1333.16304347826,1227.32608695652,1227.32608695652
"3",1450,1662,1344.16304347826,1344.16304347826,1238.32608695652,1238.32608695652
"4",1645,1758,1539.16304347826,1539.16304347826,1433.32608695652,1433.32608695652
"5",1845,1770,1739.16304347826,1739.16304347826,1633.32608695652,1633.32608695652
"6",1862,1777,1756.16304347826,1756.16304347826,1650.32608695652,1650.32608695652
"7",1868,1795,1762.16304347826,1762.16304347826,1656.32608695652,1656.32608695652
"8",1919,1819,1813.16304347826,1813.16304347826,1707.32608695652,1707.32608695652
"9",1994,1820,1888.16304347826,1888.16304347826,1782.32608695652,1782.32608695652
"10",2025,1864,1919.16304347826,1919.16304347826,1813.32608695652,1813.32608695652
"11",2119,1909,2013.16304347826,2013.16304347826,1907.32608695652,1907.32608695652
"12",2129,1943,2023.16304347826,2023.16304347826,1917.32608695652,1917.32608695652
"13",2312,1955,2206.16304347826,2206.16304347826,2100.32608695652,2100.32608695652
"14",2322,1998,2216.16304347826,2216.16304347826,2110.32608695652,2110.32608695652
"15",2325,2228,2219.16304347826,2219.16304347826,2113.32608695652,2113.32608695652
"16",2346,2258,2240.16304347826,2240.16304347826,2134.32608695652,2134.32608695652
"17",2378,2321,2272.16304347826,2272.16304347826,2166.32608695652,2166.32608695652
"18",2392,2328,2286.16304347826,2286.16304347826,2180.32608695652,2180.32608695652
"19",2413,2434,2307.16304347826,2307.16304347826,2201.32608695652,2201.32608695652
"20",2464,2529,2358.16304347826,2358.16304347826,2252.32608695652,2252.32608695652
"21",2516,2537,2410.16304347826,2410.16304347826,2304.32608695652,2304.32608695652
"22",2649,2566,2543.16304347826,2543.16304347826,2437.32608695652,2437.32608695652
"23",2877,2858,2771.16304347826,2771.16304347826,2665.32608695652,2665.32608695652
