Year,Station,January ,February,March,April,May,June,July,August,September,October,November,December,Annual,pre_monsoon,post_monsoon,winter, monsoon
1967,Barisal,1.35,0,2.97,3.5,2.29,5.3,9.42,7.35,18.23,11.03,0,0,5.12,2.92,5.52,0.45,10.08
1968,Barisal,0,0.48,2.77,2.13,7.94,28.23,13.61,10.68,5.3,7.45,0.4,0,6.59,4.28,3.93,0.16,14.46
1969,Barisal,0,0,3.45,2.73,1.77,11.57,15.92,17.61,12.2,1.45,0.73,0,5.65,2.65,1.09,0.00,14.33
1970,Barisal,0,0.86,0.16,3.03,4,13.6,17.1,10.23,19.03,8.16,3,0,6.61,2.40,5.58,0.29,14.99
1971,Barisal,0.23,0.04,0,3.59,8.65,16.77,8.06,8.1,13.13,4.9,3.8,0,5.61,4.08,4.35,0.09,11.52
1972,Barisal,0,2,0,4.03,4.19,8.73,8,14.77,3,0.94,0,0,3.81,2.74,0.47,0.67,8.63
1973,Barisal,0,0.43,2.61,1.4,16.39,16.73,12.65,8.58,13.27,0.94,5.7,6.35,7.12,6.80,3.32,2.26,12.81
1974,Barisal,0.06,0,4.81,6.23,8.55,9.63,22.06,7.68,12.03,4.94,0.6,0,6.43,6.53,2.77,0.02,12.85
1975,Barisal,0,0.04,0,0,7.42,11.77,10.35,11.32,0,4.84,1.47,0,3.97,2.47,3.16,0.01,8.36
1976,Barisal,0,0.69,0.06,3.33,5.29,11,11.29,12.23,10.17,4.74,0.77,0.81,5.04,2.89,2.76,0.50,11.17
1977,Barisal,0.29,1.29,0,10.23,5.06,18.57,9.65,4.45,7.9,2.23,1.77,0,5.1,5.10,2.00,0.53,10.14
1978,Barisal,0,0,0.45,8.07,12.48,21.03,13.19,9.94,10,4.1,0.1,0,6.63,7.00,2.10,0.00,13.54
1979,Barisal,0.03,0.5,0.97,1.27,2.16,15.1,18.03,20.71,10.53,4.1,1.03,1.52,6.37,1.47,2.57,0.68,16.09
1980,Barisal,0,1.9,1.52,0.43,7.58,9.07,16.97,9.45,6.4,9.1,0,0,5.23,3.18,4.55,0.63,10.47
1981,Barisal,0.77,1.54,3.71,13.73,9.03,14.43,16.81,7.19,5.77,2.29,0,1.06,6.38,8.82,1.15,1.12,11.05
1982,Barisal,0,2.04,0.55,5.93,2.1,15.5,7.19,19.52,7.3,0.19,1.13,0.35,5.15,2.86,0.66,0.80,12.38
1983,Barisal,0.26,1.39,0.58,3.07,10.26,9.73,12.87,18.68,10.4,6.19,1.6,0.61,6.35,4.64,3.90,0.75,12.92
1984,Barisal,0.52,0,0.03,3.4,9.13,34.17,14.45,15.39,7.47,3.81,0,0.03,7.36,4.19,1.91,0.18,17.87
1985,Barisal,0.03,0.07,1.45,2.13,7.29,10.73,9.39,9.74,6,6.39,0.27,0,4.49,3.62,3.33,0.03,8.97
1986,Barisal,0.19,0,0.23,3.4,5.84,8.47,12.29,8.06,17.53,4.35,9.13,0.03,5.8,3.16,6.74,0.07,11.59
1987,Barisal,0.13,0.11,0.26,5,3.1,7.77,18.32,22,10.07,3,1.23,0,5.96,2.79,2.12,0.08,14.54
1988,Barisal,0,0.76,2.1,3.2,12.68,18.83,13.61,13.71,7.6,3.26,3.77,0,6.64,5.99,3.52,0.25,13.44
1989,Barisal,0,0.5,0.03,2.97,5.29,6.87,14.61,6.26,13.77,14.55,0,0,5.44,2.76,7.28,0.17,10.38
1990,Barisal,0,2.82,5.87,4.63,11.35,12.87,14.74,9.81,6.33,6.26,2.33,0.97,6.53,7.28,4.30,1.26,10.94
1991,Barisal,0.32,0.5,1.23,1.77,6.16,18.73,11.48,10.29,7.73,16.03,1.8,0.52,6.42,3.05,8.92,0.45,12.06
1992,Barisal,0.13,3.38,0,0.03,6.61,6.33,9.65,10.52,7,3.16,0.27,0,3.93,2.21,1.72,1.17,8.38
1993,Barisal,0.03,1.25,7.58,7.2,12.68,13,13.23,16.13,7.93,4.32,0.7,0,7.05,9.15,2.51,0.43,12.57
1994,Barisal,0.13,0.46,2.97,3.37,5.74,19.03,6.52,12.16,4.8,2.81,0.23,0,4.87,4.03,1.52,0.20,10.63
1995,Barisal,0.03,2.21,0.19,0.4,4.65,21.9,16.68,11.03,6.93,5.03,5.1,0,6.19,1.75,5.07,0.75,14.14
1996,Barisal,0,0.66,0.39,4.37,3.16,14.87,10.13,11.52,6.73,8.71,0.13,0.03,5.07,2.64,4.42,0.23,10.81
1997,Barisal,0.03,1.07,2.55,6.77,7.58,6.83,13.1,6.48,12.6,0.23,0.37,0.39,4.84,5.63,0.30,0.50,9.75
1998,Barisal,4.77,1.93,8.81,8.37,5.77,6.93,19.87,16.35,8.47,2.87,9,0,7.81,7.65,5.94,2.23,12.91
1999,Barisal,0,0,0,0.67,6.84,8.67,17,12.84,10.03,7.35,0.03,0.06,5.34,2.50,3.69,0.02,12.14
2000,Barisal,0.61,0.55,1.61,4.5,7.94,9.53,12.55,6.26,8.17,5.52,0.33,0,4.81,4.68,2.93,0.39,9.13
2001,Barisal,0,0.61,0.13,0.53,9.1,21.37,17.94,5.9,4.97,9.84,2.23,0,6.08,3.25,6.04,0.20,12.55
2002,Barisal,0.61,0,1.16,3.37,10.45,19.23,23.13,8.81,11.53,1.71,3.07,0,6.95,4.99,2.39,0.20,15.68
2003,Barisal,0,0.14,3.77,3.47,2.74,17.37,7.84,5.9,6.87,9.71,0,0.9,4.91,3.33,4.86,0.35,9.50
2004,Barisal,0,0,0.35,2.9,4.06,10.53,7.77,12.84,35.57,6.55,0,0,6.69,2.44,3.28,0.00,16.68
2005,Barisal,0.35,0,4.45,0.87,2.74,10.87,14.94,9.74,5.8,13.39,0,0.1,5.32,2.69,6.70,0.15,10.34
2006,Barisal,0,0,0.13,1.37,8.84,11.73,12.39,12.1,17.4,1.32,0.07,0,5.47,3.45,0.70,0.00,13.41
2007,Barisal,0,2.57,1.06,1.67,4.71,15.7,18.06,7.03,10.87,11.52,3.17,0,6.38,2.48,7.35,0.86,12.92
2008,Barisal,1.32,0.83,0.71,0.53,2.06,7.97,17.74,11.58,7,11,0,0,5.1,1.10,5.50,0.72,11.07
2009,Barisal,0,0.71,0.42,3.73,4.29,4.63,17.48,12.71,5.6,5.23,0.43,0,4.65,2.81,2.83,0.24,10.11
2010,Barisal,0,0.04,0.03,0.33,6.84,16.03,8.1,4.81,6.13,8.87,2.13,0.87,4.53,2.40,5.50,0.30,8.77
2011,Barisal,0,0,1.1,3.5,4.94,16.03,10.13,13.81,11.23,1.81,0.03,0,5.23,3.18,0.92,0.00,12.80
2012,Barisal,1,0.07,0.35,7.43,3.39,6.83,8.87,8.55,12.7,2.26,1.47,0,4.4,3.72,1.87,0.36,9.24
2013,Barisal,0,0.21,0.16,2.13,22.61,9.23,12.16,12.13,10.4,5.84,0,0,6.3,8.30,2.92,0.07,10.98
2014,Barisal,0,0.54,0.42,0,7.58,11.37,8.94,7.32,8.47,2.13,0,0,3.91,2.67,1.07,0.18,9.03
2015,Barisal,0.1,0.86,0.58,4.5,2.32,21.37,25.32,8.48,11.73,4.13,0.63,0.1,6.69,2.47,2.38,0.35,16.73
2016,Barisal,0.03,1.07,0.26,1.7,14.13,10.6,16.03,18.71,9.53,1.77,3.07,0,6.44,5.36,2.42,0.37,13.72
2017,Barisal,0,0,1.9,12.13,3.81,16.83,17.74,11.29,7.6,12.48,0.47,1.84,7.21,5.95,6.48,0.61,13.37
2018,Barisal,0,0,0.29,4.63,8.35,11.03,9.48,6.16,2.73,3.55,0.03,0.13,3.89,4.42,1.79,0.04,7.35
2019,Barisal,0,2.29,0.94,3.17,4.48,4.93,14.65,8.23,7.93,3.55,0.47,0,4.24,2.86,2.01,0.76,8.94
2020,Barisal,1.74,0.07,0.16,5.93,8.77,10.9,10,14.61,13.6,8.97,0.17,0,6.26,4.95,4.57,0.60,12.28
2021,Barisal,0,0.04,0.03,0,1.61,13.47,12.23,9.55,8.13,8.94,0.03,2.13,4.71,0.55,4.49,0.72,10.85
2022,Barisal,0.13,1.18,0,0.2,6.71,9.63,5.97,10.68,9.27,15.35,0,0.03,4.96,2.30,7.68,0.45,8.89
2023,Barisal,0,0,1.32,0.57,5.48,6.63,6.19,20,11.07,9.77,7.5,0.13,5.76,2.46,8.64,0.04,10.97
1981,Bhola,1.65,0.57,3.84,13.83,8.32,18.53,18.1,11.81,8.83,0.13,0,0.84,7.22,8.66,0.07,1.02,14.32
1982,Bhola,0,2,0.52,6.93,3,17.17,8.42,20.03,8.2,0.35,0.97,0,5.63,3.48,0.66,0.67,13.46
1983,Bhola,0.32,1.18,0.55,7.97,14,19.1,16.97,16.1,11.77,12.9,1.37,1.03,8.65,7.51,7.14,0.84,15.99
1984,Bhola,0.29,0,0,4.33,7.42,30.63,14.35,15.1,9.9,4.65,0,0,7.22,3.92,2.33,0.10,17.50
1985,Bhola,0.1,0.11,2.16,2.67,14.13,10.87,9.61,9.42,7.93,1.68,0.8,0,4.99,6.32,1.24,0.07,9.46
1986,Bhola,0.32,0,0.03,6.73,9.94,9.6,14.77,11.19,18.77,5.13,7.87,0,7.05,5.57,6.50,0.11,13.58
1987,Bhola,0.03,0,0.65,7.13,4.48,7,21.29,28.45,6.07,1.71,0.67,0.9,6.6,4.09,1.19,0.31,15.70
1988,Bhola,0,1.66,2.19,2.5,12.29,23.53,13.45,14.61,8.6,4.81,2.97,0,7.22,5.66,3.89,0.55,15.05
1989,Bhola,0,0.46,0,2.23,4.13,18,12.42,5.81,12.6,8.1,0,0,5.32,2.12,4.05,0.15,12.21
1990,Bhola,0,3,5,3.93,8.03,11.93,11.94,9.26,6.63,10.39,2.77,1.13,6.19,5.65,6.58,1.38,9.94
1991,Bhola,0.55,1.43,1.19,5.47,5.23,24.83,12.58,13.81,12.03,13.29,0.1,0.55,7.61,3.96,6.70,0.84,15.81
1992,Bhola,0.03,4.34,0,0,6.71,9.17,11.71,7.1,9.33,4.65,0,0.03,4.42,2.24,2.33,1.47,9.33
1993,Bhola,0,1.57,7.61,3.87,10.16,21.03,15.26,15.74,7.3,1.48,1.1,0,7.13,7.21,1.29,0.52,14.83
1994,Bhola,0.06,0.46,3.55,2,7.42,18.63,10.58,10.03,2.9,1.29,0.17,0,4.78,4.32,0.73,0.17,10.54
1995,Bhola,0.03,1.86,0.16,1.67,5.58,17.7,12.87,9.61,10.13,1.94,6.07,0,5.63,2.47,4.01,0.63,12.58
1996,Bhola,0,0.28,1.58,4.6,4.13,18.2,9.42,12.45,4.73,5.45,0.2,0.06,5.1,3.44,2.83,0.11,11.20
1997,Bhola,0.03,1.54,3,5.63,8.35,3.73,16.87,9.9,14.63,1.23,0,0.23,5.45,5.66,0.62,0.60,11.28
1998,Bhola,1.74,1.71,6.23,6.23,8.52,8.5,16.13,15.61,8.77,5.52,4.13,0.19,6.98,6.99,4.83,1.21,12.25
1999,Bhola,0,0,0,2.4,10.29,11.97,19.03,13.65,13.27,14.06,0,0.26,7.14,4.23,7.03,0.09,14.48
2000,Bhola,1.35,0.28,1.97,4.2,9,13.87,13.94,8.29,6.87,4.48,2.97,0,5.61,5.06,3.73,0.54,10.74
2001,Bhola,0,0.36,0.13,0.33,14.52,29.73,13.1,6.84,7.27,9.35,2,0,6.99,4.99,5.68,0.12,14.24
2002,Bhola,0.71,0,0.77,2.17,9.48,15.8,18.58,13.35,10.67,1.74,2.47,0,6.35,4.14,2.11,0.24,14.60
2003,Bhola,0,0.14,1.55,2.87,3.26,19.77,8.23,8.71,5.67,8.48,0,0.97,4.99,2.56,4.24,0.37,10.60
2004,Bhola,0,0,0.35,4.3,5.06,19.33,15.06,14.48,33.1,9.1,0.03,0,8.39,3.24,4.57,0.00,20.49
2005,Bhola,0.23,0,3.42,2.1,2.81,6.03,27.74,14.84,6.57,12.81,0,0.26,6.48,2.78,6.41,0.16,13.80
2006,Bhola,0,0,0.23,0.27,12.87,10.37,11.39,14.65,20.87,1.23,0,0,6.02,4.46,0.62,0.00,14.32
2007,Bhola,0,2.86,0.87,4.67,4.52,14.67,16.48,6.55,13.7,8.94,3.3,0,6.38,3.35,6.12,0.95,12.85
2008,Bhola,0.74,0.52,0.13,0.53,5.23,10.43,23.52,8.23,5.17,11.23,0,0,5.52,1.96,5.62,0.42,11.84
2009,Bhola,0,0.11,0.19,3.9,7.87,5.83,17.55,14.42,7.3,4.71,0.6,0,5.26,3.99,2.66,0.04,11.28
2010,Bhola,0,0,0.03,0.33,6.29,13.37,11.39,2.84,7.73,14.26,1.3,0.26,4.85,2.22,7.78,0.09,8.83
2011,Bhola,0,0,1.03,2.2,10.23,14.17,12.84,12.45,11.03,2.03,0,0,5.53,4.49,1.02,0.00,12.62
2012,Bhola,0.19,0.03,0.26,6.37,3.1,7.77,10.42,9.16,6.37,3.97,1.17,0.03,4.08,3.24,2.57,0.08,8.43
2013,Bhola,0,0.32,0,0.93,21.13,9,10.55,15.32,7.6,6.45,0,0,6.01,7.35,3.23,0.11,10.62
2014,Bhola,0,0.57,0.45,0.3,4.16,15.97,9.65,15.03,8.97,1.65,0,0,4.75,1.64,0.83,0.19,12.41
2015,Bhola,0.03,0.36,1.35,3.2,2.45,23.57,23.97,13.74,12.4,5.74,0.2,0.06,7.28,2.33,2.97,0.15,18.42
2016,Bhola,0.06,1.07,0.77,1.13,15.26,10.93,12.19,18.26,9.23,5.58,5.77,0,6.72,5.72,5.68,0.38,12.65
2017,Bhola,0,0,4.19,10.5,3.19,12.83,17.77,13.42,9.13,7.68,0.57,3,6.9,5.96,4.13,1.00,13.29
2018,Bhola,0,0,0.06,3.57,9.68,13.1,9.23,6.1,4.13,3.71,0,0.03,4.16,4.44,1.86,0.01,8.14
2019,Bhola,0,2.04,1.42,3.1,4.71,4.9,13.13,11.68,8.93,3.03,8.63,0.58,5.19,3.08,5.83,0.87,9.66
2020,Bhola,2.03,0.07,0.1,9.43,6.16,12.9,12.65,13.87,9.53,11.16,0.5,0,6.55,5.23,5.83,0.70,12.24
2021,Bhola,0,0.04,0,0.07,2.48,21.8,12.97,11.71,6.57,7.74,0.07,2.16,5.49,0.85,3.91,0.73,13.26
2022,Bhola,0.23,0.82,0,1.27,6.42,10.8,4.52,9.32,8.4,13.39,0,0.1,4.63,2.56,6.70,0.38,8.26
2023,Bhola,0,0,2.35,1.33,6.52,9.97,5.84,20.87,10.37,8.03,8.4,0.23,6.19,3.40,8.22,0.08,11.76
1977,Chandpur,0,0.21,3.71,3.83,7.03,20.97,17.94,7.26,5.13,2.58,4.07,0,6.08,4.86,3.33,0.07,12.83
1978,Chandpur,0,0.21,3.71,3.83,7.03,20.97,17.94,7.26,5.13,2.58,4.07,0,6.08,4.86,3.33,0.07,12.83
1979,Chandpur,1.23,0.75,0.23,3.83,7.03,20.97,17.94,7.32,9.63,1.03,0.33,0.26,5.89,3.70,0.68,0.75,13.97
1980,Chandpur,1.23,0.72,0.23,3.83,7.03,20.97,17.94,7.32,9.63,1.03,0.33,0.26,5.87,3.70,0.68,0.74,13.97
1981,Chandpur,0.26,0.21,0.65,29.77,19.32,13.43,14.06,7.52,4.9,0.45,0,1.29,7.67,16.58,0.23,0.59,9.98
1982,Chandpur,0,1.64,1.16,6.83,5.19,22.13,26.29,32.58,8.33,0.55,2.77,0.26,9.03,4.39,1.66,0.63,22.33
1983,Chandpur,0.32,0.5,4.77,14.67,24.23,17.07,9.81,21.81,11.07,12.94,1.87,1.19,10.08,14.56,7.41,0.67,14.94
1984,Chandpur,0.81,0,0.03,1.07,20,45.03,17.19,24.42,11.63,3.87,0,0.23,10.37,7.03,1.94,0.35,24.57
1985,Chandpur,0.81,0,0.03,1.07,20,45.03,17.19,24.42,11.63,3.87,0,0.23,10.4,7.03,1.94,0.35,24.57
1986,Chandpur,0.19,0,0.45,4.1,5.06,7.53,12.87,9.29,15.93,6,6.57,0,5.68,3.20,6.29,0.06,11.41
1987,Chandpur,0,0,1.87,8.17,3.39,3.3,24.19,18.58,7.7,5,0.9,0.23,6.17,4.48,2.95,0.08,13.44
1988,Chandpur,0,1.72,2.26,5.37,11.03,12.73,9.84,9.97,4.67,3.97,2.47,0,5.34,6.22,3.22,0.57,9.30
1989,Chandpur,0,0,0.13,1.33,3.58,10.13,9.1,6.39,7.73,10.23,0,0.1,4.08,1.68,5.12,0.03,8.34
1990,Chandpur,0,1.29,3.58,5.43,6.1,10.37,13.58,5.71,6.93,8.48,1.83,0.71,5.36,5.04,5.16,0.67,9.15
1991,Chandpur,0.23,0.82,3.52,5,12.13,13.97,8.13,9.52,17.7,9.16,0.2,0.42,6.75,6.88,4.68,0.49,12.33
1992,Chandpur,0,3.31,0,0.67,4.74,5.93,10.71,10.68,4.87,2.61,0.03,0,3.64,1.80,1.32,1.10,8.05
1993,Chandpur,0,3.86,4.58,3.67,10.23,9.97,13.35,14.16,8.63,2.84,0.23,0,5.98,6.16,1.54,1.29,11.53
1994,Chandpur,0.26,0.32,2.74,10.33,5.74,9.57,5.45,12.35,3.27,1.42,0.03,0,4.31,6.27,0.73,0.19,7.66
1995,Chandpur,0.06,0.89,0,1.7,5.71,11.73,13.87,16.26,7.97,2.48,6.83,0,5.65,2.47,4.66,0.32,12.46
1996,Chandpur,0.1,0.34,2.42,6.13,5.52,12.03,10.26,7.03,8.8,7.61,0.67,0,5.08,4.69,4.14,0.15,9.53
1997,Chandpur,0.06,1.04,1.74,2.4,4.29,8.87,15.87,10.42,14.03,1.1,0,1.06,5.09,2.81,0.55,0.72,12.30
1998,Chandpur,0.74,1.93,4.19,5.27,7.65,3.07,20.06,11.45,6.2,3.13,5.23,0,5.78,5.70,4.18,0.89,10.20
1999,Chandpur,0,0,0.03,0.7,11.52,9.63,30.55,10.26,13.13,9.16,0.13,0.03,7.17,4.08,4.65,0.01,15.89
2000,Chandpur,0.81,0.52,1.87,5.33,15.16,9.6,9.45,6,2.43,6.06,0.03,0,4.8,7.45,3.05,0.44,6.87
2001,Chandpur,0,0.89,0.03,0.77,14.45,18.03,12.48,6.32,10.7,5.06,2.53,0,5.96,5.08,3.80,0.30,11.88
2002,Chandpur,0.45,0,2.84,3.03,8.94,18.3,15.39,13.19,8.6,1.03,2.57,0,6.22,4.94,1.80,0.15,13.87
2003,Chandpur,0,0.46,3.52,2.7,4.03,17.77,6.74,9.71,6.67,4.61,0,0.84,4.77,3.42,2.31,0.43,10.22
2004,Chandpur,0,0,0.29,3.47,3.26,12.47,10.06,9.65,28.17,9.74,0,0.06,6.42,2.34,4.87,0.02,15.09
2005,Chandpur,0.23,0,3.94,3.03,3.71,1.03,11.1,10.26,4.97,11.61,0,0.06,4.22,3.56,5.81,0.10,6.84
2006,Chandpur,0,0,0,1,8.39,11.2,11.23,10.03,13.67,0.77,0,0,4.71,3.13,0.39,0.00,11.53
2007,Chandpur,0,2.04,1.29,1.7,7.29,13.3,25.23,5.81,8.87,7.35,3.63,0,6.41,3.43,5.49,0.68,13.30
2008,Chandpur,1.26,0.76,2.06,2.23,7.74,6.43,20.94,10.32,7.1,10.74,0,0,5.85,4.01,5.37,0.67,11.20
2009,Chandpur,0,0.04,0.16,1.87,7.1,5.9,13.9,10,4.87,6.29,0.1,0,4.23,3.04,3.20,0.01,8.67
2010,Chandpur,0,0.82,0.1,0.57,6.16,18.03,7.52,6.55,7.63,9.77,0.2,0.48,4.83,2.28,4.99,0.43,9.93
2011,Chandpur,0,0.04,1.13,4.83,13.68,13.67,9.39,13,9.7,4.13,0,0,5.83,6.55,2.07,0.01,11.44
2012,Chandpur,0.39,0.41,0.97,6.47,3.9,9.3,9.61,15.48,4.57,4.13,3.07,0.06,4.88,3.78,3.60,0.29,9.74
2013,Chandpur,0,0.11,0.48,4.5,21.61,16.57,7.26,11.13,16.73,5.39,0,0,7.01,8.86,2.70,0.04,12.92
2014,Chandpur,0,0.71,0.13,1.33,5.77,16.97,10.29,7.42,11.53,3.16,0.03,0,4.78,2.41,1.60,0.24,11.55
2015,Chandpur,0.1,1.04,0.35,5.83,5.16,22.5,28.13,14.35,8.3,4.13,0,0.06,7.53,3.78,2.07,0.40,18.32
2016,Chandpur,0,1.14,0.39,0.63,16.77,9.87,17.39,16.45,5.03,4.35,4.5,0,6.42,5.93,4.43,0.38,12.19
2017,Chandpur,0,0.04,4.74,7.67,6.35,14.5,20.87,19.55,12.63,8.84,0.47,4.03,8.37,6.25,4.66,1.36,16.89
2018,Chandpur,0,0.07,0.16,5.53,14.55,18.03,13.55,7.39,2.63,2.35,0.47,0.06,5.43,6.75,1.41,0.04,10.40
2019,Chandpur,0,4.36,1.35,3.67,6.9,6.43,12.71,9.39,4.77,4.13,0.47,4.03,4.87,3.97,2.30,2.80,8.33
2020,Chandpur,1.13,0.07,0.97,12.47,6.68,8.37,9.45,13.03,7.47,10.71,0.57,0,5.93,6.71,5.64,0.40,9.58
2021,Chandpur,0.06,0,0.06,0.1,2.81,14.57,12.61,13.52,8.7,6.32,1.13,4.06,5.36,0.99,3.73,1.37,12.35
2022,Chandpur,0.19,1.64,0,2.6,10.23,10.17,4.16,4.65,7.2,13.61,0,0,4.56,4.28,6.81,0.61,6.55
2023,Chandpur,0,0,5.65,3.4,7.84,5.57,6.39,19.23,5.97,6.06,8.17,1.06,5.82,5.63,7.12,0.35,9.29
1961,Chittagong,0,0.18,0.48,1.17,4.32,31.6,37.77,29.03,5.33,10.71,0.07,0,10.14,1.99,5.39,0.06,25.93
1962,Chittagong,0.19,1.5,8.29,1.9,6.61,23.8,16.48,9,7.67,8.97,0,0,7.07,5.60,4.49,0.56,14.24
1963,Chittagong,0,0,0.97,2,6.87,28.83,31.29,8.26,3.77,7.26,0,0,7.48,3.28,3.63,0.00,18.04
1964,Chittagong,0.1,0.1,0,6.6,6.29,13.97,34.74,20.94,8.87,8.65,0.63,0,8.46,4.30,4.64,0.07,19.63
1965,Chittagong,0,2.54,1,0.17,6.13,20.47,31.32,20.16,7.43,4.9,0,0,7.9,2.43,2.45,0.85,19.85
1966,Chittagong,0,0,0.9,0,5.61,17.7,7.35,19.55,13.43,8.45,0,3.23,6.39,2.17,4.23,1.08,14.51
1967,Chittagong,0.52,0,0.94,4.23,2.94,7.4,9.94,17.87,11.32,7.03,0,0,5.22,2.70,3.52,0.17,11.63
1968,Chittagong,0.23,0.38,12.52,0.33,11.71,19.5,35.32,11.71,3.37,2.9,0,0,8.23,8.19,1.45,0.20,17.48
1969,Chittagong,0.68,0,3.87,8.37,31.83,22.57,22.06,23.06,8.57,0.97,1.1,0,10.34,14.69,1.04,0.23,19.07
1970,Chittagong,0.03,0.71,0.06,1.33,5.1,10.43,33.58,13.06,10.57,12.26,5.03,0,7.75,2.16,8.65,0.25,16.91
1971,Chittagong,0.32,0,0,0.07,2.03,28.43,30.61,22.81,6.13,1.9,7.96,1.9,8.56,0.70,4.93,0.74,22.00
1972,Chittagong,0,0.07,0,2.9,0.48,15.23,12,18.23,8.06,2.84,0,0,4.99,1.13,1.42,0.02,13.38
1973,Chittagong,0.16,0.29,0.45,4.73,14.74,13.57,13.13,8.9,18.37,7.26,8.63,1.29,7.65,6.64,7.95,0.58,13.49
1974,Chittagong,0.23,0,5.1,2.67,10.42,31.93,30.42,17.74,11.57,9.94,2.1,0,10.24,6.06,6.02,0.08,22.92
1975,Chittagong,0,0.18,0,2.17,8.1,12.97,29.23,9.48,10.4,7.45,4.83,0,7.12,3.42,6.14,0.06,15.52
1976,Chittagong,0,0.21,0.06,1.67,3.97,34.7,39.82,12.16,3.2,5.26,8.37,0.32,9.16,1.90,6.82,0.18,22.47
1977,Chittagong,2.29,2.54,0,13.93,8.74,14.33,23.06,10.52,3.07,4,1.17,0,6.99,7.56,2.59,1.61,12.75
1978,Chittagong,0,0,0.06,1.6,11.9,27.03,8.94,10.94,12.7,6.19,0,0,6.63,4.52,3.10,0.00,14.90
1979,Chittagong,0.03,0.07,0.03,1.43,6.87,21.77,14.39,28.97,14.17,1.9,1.73,1.16,7.75,2.78,1.82,0.42,19.83
1980,Chittagong,0,0.97,1.68,1.53,14.71,17.23,20.23,22.71,7.63,8.87,0,0,8.02,5.97,4.44,0.32,16.95
1981,Chittagong,0.48,0.07,4.16,9.3,11,12.13,26.61,11.06,5,0.65,0.03,0,6.76,8.15,0.34,0.18,13.70
1982,Chittagong,0,0.25,1.71,4.77,1.42,24.87,15.32,26.52,13.37,0.16,1.43,0.03,7.51,2.63,0.80,0.09,20.02
1983,Chittagong,0.16,1.57,2.55,7.3,7.16,20.3,26.19,47,5.4,12.58,1.9,1.68,11.25,5.67,7.24,1.14,24.72
1984,Chittagong,0.03,0,0,4.17,13.81,19.83,25.87,10.65,5.83,3.94,0,0.06,7.05,5.99,1.97,0.03,15.55
1985,Chittagong,0.55,0.21,2.84,4.77,16.48,17.23,33.26,15.13,4.77,1.52,6.6,0.06,8.69,8.03,4.06,0.27,17.60
1986,Chittagong,0.06,0,0,4.83,5.71,27.33,28.84,10.48,4.63,6.45,4.07,0,7.74,3.51,5.26,0.02,17.82
1987,Chittagong,0.1,0.71,2.58,9.57,2.03,15.1,38.9,21.77,14.3,1.13,1.63,0.55,9.09,4.73,1.38,0.45,22.52
1988,Chittagong,0,0.38,1.13,6.07,13.97,21.43,20.39,14.9,10.97,11.03,2.4,0.03,8.58,7.06,6.72,0.14,16.92
1989,Chittagong,0,0.07,0,7.33,2.65,9.23,37.84,2.16,12,13.03,0.47,0,7.12,3.33,6.75,0.02,15.31
1990,Chittagong,0,1.39,1.71,8.33,6.61,22.27,33.48,3.71,4.7,7.52,2.47,1.16,7.81,5.55,5.00,0.85,16.04
1991,Chittagong,0.61,0,1.39,4.17,20.77,25.8,26.39,11.52,12,6.81,3.3,0.42,9.49,8.78,5.06,0.34,18.93
1992,Chittagong,0,4.1,0,0.03,4.1,19.03,13.29,8.94,9.73,14.03,0.13,1.1,6.21,1.38,7.08,1.73,12.75
