"Station","Season","Kendall_tau","Kendall_S","p_value","Sens_slope"
"Barisal","pre_monsoon",-0.105,-168,0.25,-0.01
"Bhola","pre_monsoon",-0.226,-204,0.034,-0.05
"Chandpur","pre_monsoon",-0.088,-95,0.389,-0.02
"Chittagong","pre_monsoon",0.014,27,0.877,0
"Chuadanga","pre_monsoon",0.057,17,0.709,0.01
"Comilla","pre_monsoon",-0.243,-219,0.022,-0.06
"Coxsbazar","pre_monsoon",0.049,96,0.573,0.01
"Dhaka","pre_monsoon",-0.165,-2535,0.001,-0.03
"Faridpur","pre_monsoon",-0.268,-198,0.017,-0.05
"Feni","pre_monsoon",-0.201,-149,0.073,-0.05
"Hatiya","pre_monsoon",0.037,27,0.753,0.01
"Jessore","pre_monsoon",0.056,83,0.552,0.01
"Khulna","pre_monsoon",-0.087,-68,0.435,-0.02
"Kutubdia","pre_monsoon",-0.076,-56,0.506,-0.02
"Madaripur","pre_monsoon",-0.15,-111,0.183,-0.04
"Mongla","pre_monsoon",-0.218,-497,0.009,-0.06
"Patuakhali","pre_monsoon",-0.235,-174,0.036,-0.04
"Rangamati","pre_monsoon",-0.276,-184,0.017,-0.09
"Sandwip","pre_monsoon",-0.101,-67,0.388,-0.04
"Satkhira","pre_monsoon",-0.077,-60,0.492,-0.01
"Sitakunda","pre_monsoon",-0.094,-102,0.354,-0.03
"Tangail","pre_monsoon",-0.087,-58,0.456,-0.02
"Teknaf","pre_monsoon",0.028,30,0.79,0.01
