year, obs,ANN,SVM,GBM,RF,GRU,LSTM,RNN
4-Jan,0,9.68,12.9,0,12.9,6.45,3.23,6.45
4-Feb,0,12.54,12.9,0,15.77,2.27,3.23,0
4-Mar,15.77,12.9,13.98,12.54,0,16.13,9.56,0
4-Apr,0,10.75,14.7,3.23,40.14,3.23,0,0
4-May,44.09,3.23,12.9,44.09,16.13,25.69,19.95,6.33
4-Jun,0,0,0,0,2.51,3.23,22.46,9.56
4-Jul,34.77,36.2,24.73,34.77,8.6,9.68,3.11,6.33
4-Aug,12.54,11.83,12.9,14.34,0,9.68,22.1,16.13
4-Sep,0,16.13,15.77,0,8.6,6.21,3.23,0
4-Oct,3.23,0,0,0,30.82,0,12.78,2.87
4-Nov,3.23,9.68,2.15,6.45,0,21.51,19.24,29.03
4-Dec,3.23,9.68,3.23,6.45,0,12.9,3.33,0
5-Jan,14.29,21.43,17.86,14.29,14.29,9.52,5.69,2.25
5-Feb,19.84,24.21,22.62,20.24,17.46,10.71,14.29,21.3
5-Mar,0,0,0,0,3.57,24.87,14.29,16.67
5-Apr,0,0,0,0,0,0,0,0
5-May,37.7,31.35,21.43,37.7,12.7,0,0,7.14
5-Jun,0,0,3.57,0,13.89,0,6.88,3.44
5-Jul,2.78,0,16.67,3.29,11.9,0,7.14,3.57
5-Aug,6.35,10.32,0,6.35,13.89,7.14,7.14,0
5-Sep,55.95,55.16,49.21,55.56,10.71,10.71,10.71,10.32
5-Oct,0,0,0,0,26.19,3.57,14.15,0
5-Nov,0,0,0,0,6.75,3.04,7.14,3.57
5-Dec,0,0,0,0,3.57,10.71,3.57,3.57
6-Jan,3.23,3.23,3.23,3.23,0,12.9,6.33,0
6-Feb,6.09,6.09,6.09,6.09,1.79,2.39,0,0
6-Mar,14.7,19.35,16.13,24.37,29.75,0,2.87,15.77
6-Apr,30.47,32.26,30.82,30.47,16.13,19.35,8.6,25.81
6-May,0,0,0,1.79,6.45,9.68,21.27,12.78
6-Jun,8.6,8.96,0,8.6,3.23,0,3.23,3.23
6-Jul,0,2.51,0,0,0,2.39,9.68,3.23
6-Aug,9.68,15.77,21.51,9.68,6.45,0,0,0
6-Sep,30.47,22.22,24.37,30.82,17.56,29.03,9.68,9.68
6-Oct,0,2.87,6.45,0,2.15,9.68,19.24,6.09
6-Nov,0,2.87,8.24,2.51,19,2.99,6.45,0
6-Dec,0,3.23,6.45,3.23,12.9,25.81,3.23,0
7-Jan,33.33,33.33,33.33,33.33,6.67,10,5.68,3.33
7-Feb,43.7,47.41,40.37,41.85,6.67,9.88,3.33,8.89
7-Mar,10,10,12.59,10,20,0,0,0
7-Apr,3.33,3.33,3.33,3.33,12.59,12.96,3.33,0
7-May,11.48,12.96,11.11,13.33,4.44,0,0,3.33
7-Jun,20.74,24.44,9.26,20.74,1.85,0,0,0
7-Jul,1.48,3.33,0,3.33,6.3,0,0,2.96
7-Aug,9.63,6.67,21.11,10,3.33,0,0,0
7-Sep,10,10,18.89,10,55.19,0,6.67,0
7-Oct,0,0,5.19,0,9.26,3.33,0,26.3
7-Nov,0,0,3.33,1.85,0,16.54,9.38,18.77
7-Dec,0,0,3.33,0,0,0,10,0
